"","name","degree","betweenness","Abundance","module","z","p","taxa_roles","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_668","OTU_668",39,325,0.0454489995119571,"M2",1.15730089002378,0,"Peripheral nodes","k__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanothermobacter","s__"
"OTU_3138","OTU_3138",28,990,0.02150439238653,"M1",1.4688242838178,0.231111111111111,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Nitrosomonadales","f__Nitrosomonadaceae","g__","s__"
"OTU_1169","OTU_1169",23,896,0.0186066373840898,"M2",0.0924361733245831,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__Desulfomonile","s__"
"OTU_2211","OTU_2211",1,0,0.0942532942898975,"M3",-0.70874917401272,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","g__Desulfobulbus","s__"
"OTU_8175","OTU_8175",9,349,0.0178440702781845,"M1",-0.289138638546812,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__","s__"
"OTU_657","OTU_657",1,0,0.0254697413372377,"M4",-0.704399932401065,0,"Peripheral nodes","k__Bacteria","p__Acidobacteria","c__Acidobacteria","o__Subgroup 3","f__","g__Bryobacter","s__"
"OTU_1707","OTU_1707",2,0,0.0407210834553441,"M2",-1.30519876734311,0,"Peripheral nodes","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__","s__"
"OTU_2003","OTU_2003",8,162,0.0208943387018058,"M4",2.1586449541323,0.13265306122449,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__TK10","o__","f__","g__","s__"
"OTU_3139","OTU_3139",2,0,0.0393484626647145,"M3",-0.523977988569715,0,"Peripheral nodes","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea","s__"
"OTU_3134","OTU_3134",38,1685,0.0201317715959004,"M1",2.3940679271676,0.5,"Peripheral nodes","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__BD2-11 terrestrial group","f__","g__","s__"
