"Taxa","Method","Group","LDA","P.unadj","P.adj"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Halieaceae|g__Haliea","LEfSe","CW",3.26238665023272,1.70877180894121e-11,6.58731532346835e-10
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Massilia","LEfSe","TW",3.26238301869941,3.91266652262177e-06,1.95887395385804e-05
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae","LEfSe","CW",3.26160597688373,9.86502276328747e-08,7.07528609348339e-07
"k__Bacteria|p__Chloroflexi|c__S085","LEfSe","IW",3.26149143510771,2.72729917814451e-06,1.43695568630268e-05
"k__Bacteria|p__Bacteroidetes|c__WCHB1-32","LEfSe","TW",3.25716002590973,6.42048631147165e-09,6.53954268129464e-08
"k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__0319-6A21","LEfSe","IW",3.25704361354128,1.26283642744065e-07,8.8917523795136e-07
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Subgroup 21","LEfSe","CW",3.25416897111632,8.55828809979969e-12,4.12402507809097e-10
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales","LEfSe","CW",3.25069133122347,1.236984385381e-11,5.44979977787856e-10
"k__Bacteria|p__Acidobacteria|c__Acidobacteria|o__Subgroup 17","LEfSe","CW",3.24713552559843,0.000884894026721971,0.00241078902686445
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae|g__Anderseniella","LEfSe","CW",3.24372529444988,8.00967274925371e-14,1.60338578830787e-11
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Frankiales","LEfSe","IW",3.24108215630895,0.000784668848054698,0.00216838595645223
"k__Bacteria|p__Chlorobi|c__Ignavibacteria|o__Ignavibacteriales|f__PHOS-HE36","LEfSe","TW",3.23656826031519,7.40702370112463e-12,3.68439695068845e-10
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium","LEfSe","IW",3.2351428047509,8.48694928234972e-08,6.17305461952041e-07
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__M20-Pitesti","LEfSe","TW",3.23217811166292,5.25708081601922e-08,4.0130785239117e-07
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales","LEfSe","TW",3.23080731921725,8.34128858831304e-06,3.86254264359721e-05
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae","LEfSe","TW",3.23080731921725,8.34128858831304e-06,3.86254264359721e-05
